,Rank,Name,Industry,Revenue (USD millions),Revenue growth,Employees,Headquarters
0,1,Walmart,Retail,680985,5.1%,2100000,"Bentonville, Arkansas"
1,2,Amazon,Retail and cloud computing,637959,11.0%,1556000,"Seattle, Washington"
2,3,UnitedHealth Group,Healthcare,400278,7.7%,400000,"Minnetonka, Minnesota"
3,4,Apple,Electronics industry,391035,2.0%,164000,"Cupertino, California"
4,5,CVS Health,Healthcare,372809,4.2%,259500,"Woonsocket, Rhode Island"
5,6,Berkshire Hathaway,Conglomerate,371433,1.9%,392400,"Omaha, Nebraska"
6,7,Alphabet,Technology and cloud computing,350018,13.9%,183323,"Mountain View, California"
7,8,ExxonMobil,Petroleum industry,349595,1.5%,60900,"Spring, Texas"
8,9,McKesson Corporation,Health,308951,11.7%,48000,"Irving, Texas"
9,10,Cencora,Pharmacy wholesale,293959,12.1%,44000,"Conshohocken, Pennsylvania"
10,11,JPMorgan Chase,Financial services,278906,16.5%,317233,"New York City, New York"
11,12,Costco,Retail,254453,5.0%,333000,"Issaquah, Washington"
12,13,Cigna,Health insurance,247121,26.6%,72398,"Bloomfield, Connecticut"
13,14,Microsoft,Technology and cloud computing,245122,15.7%,228000,"Redmond, Washington"
14,15,Cardinal Health,Healthcare,226827,10.6%,48411,"Dublin, Ohio"
15,16,Chevron Corporation,Petroleum industry,202792,0.9%,45298,"Houston, Texas"
16,17,Bank of America,Financials,184992,11.9%,213193,"Charlotte, North Carolina"
17,18,General Motors,Automotive industry,187442,9.1%,162000,"Detroit, Michigan"
18,19,Ford Motor Company,Automotive industry,184992,5.0%,171000,"Dearborn, Michigan"
19,20,Elevance Health,Healthcare,177011,3.3%,103679,"Indianapolis, Indiana"
20,21,Citigroup,Financials,170757,8.9%,227855,"New York City, New York"
21,22,Meta Platforms,Technology,164501,21.9%,74067,"Menlo Park, California"
22,23,Centene,Healthcare,163071,5.9%,60500,"St. Louis, Missouri"
23,24,The Home Depot,Retail,159514,4.5%,470100,"Atlanta, Georgia"
24,25,Fannie Mae,Financials,152670,8.1%,8200,"Washington, D.C."
